time,platform_call_sign,latitude,longitude,hfss stdv,hfss mean,hfls stdv,hfls mean,tau stdv,tau mean,mean dmo,T stdv,TS stdv,RH stdv,P stdv,SPD stdv
2025-04-18T10:49:00Z,KAOU,27.939196,277.55685,1.494174180922867,9.268854998518012,3.7272317720719825,18.018192482030255,0.0026426922301371093,0.006724035976212823,-6.34708675462507,0.022342308507217884,0.11370099072166452,0.002213587057009714,0.0,0.3652237928660358
2025-04-18T10:50:00Z,KAOU,27.939194,277.55685,1.5149132665526766,9.959241151742976,3.4399545441640673,18.780873496145485,0.0024832190087115294,0.007090508547691197,-5.852429085518861,0.018317800932517354,0.11266313865320629,0.002086323266777261,0.0,0.3270201035560428
2025-04-18T10:51:00Z,KAOU,27.939196,277.55685,1.4441925355990148,10.295138892270009,3.24356535126313,18.996363241490332,0.002352400376555477,0.007221250940087349,-5.908088657189759,0.01558747269905961,0.11165243079463827,0.0019419556340310228,0.0,0.3750481971789856
2025-04-18T10:52:00Z,KAOU,27.939194,277.55685,2.1668732902891614,10.43253401234061,4.451075279898625,17.832055412853453,0.0029312705991810686,0.006472552511999784,-7.997058960146312,0.01928447701023005,0.10954680162262617,0.0018572938204591861,0.0,0.4572645894403247
2025-04-18T10:53:00Z,KAOU,27.939194,277.55685,1.6187833601220714,11.199251381712065,4.086082130660077,18.217022656874963,0.002705610060236403,0.00658172800839124,-8.072771846662633,0.024427122804225546,0.10568451195492747,0.001894909231837508,0.0,0.44182192211444876
2025-04-18T10:54:00Z,KAOU,27.939194,277.55685,2.010588362188187,11.04981937091655,4.591626618503342,17.890392701203485,0.00306565285301133,0.006514073003480248,-8.982031026459676,0.027242197697809337,0.10066497492959742,0.0024196715559841667,0.0,0.4459181321342601
2025-04-18T10:55:00Z,KAOU,27.939194,277.55685,1.7099941113386576,11.277458429644007,3.915756362947991,16.452894757366103,0.002333085782450732,0.00543031805777247,-11.156704184509046,0.02948580032563263,0.09681335329287723,0.00277656863702815,0.0,0.42015345419040145
2025-04-18T10:56:00Z,KAOU,27.939196,277.55685,1.4219587057560614,12.023279650086495,4.059617975195031,17.276022180115493,0.0025082537593978534,0.005890029157474544,-10.66251491510143,0.03440165034312251,0.09514195829675307,0.0031757988255709042,0.0,0.42270283372027734
2025-04-18T10:57:00Z,KAOU,27.939194,277.55685,2.525379822112893,11.92850271451216,4.336229959932199,16.755119109243253,0.00275144635059373,0.005566995930526556,-11.266145663991866,0.03663525763929225,0.0936990823366584,0.003483819235242559,4.023383497632533,0.4756900200797225
2025-04-18T10:58:00Z,KAOU,27.939194,277.55685,2.4242114490459588,12.281109041686518,4.204047585563269,16.173146011488143,0.002476344906680991,0.0051422174396330445,-12.949464871314579,0.038483545007785225,0.0929403495447641,0.003540536991080742,5.397935400154309,0.43541565111239156
2025-04-18T10:59:00Z,KAOU,27.939194,277.55685,1.6880736512003136,12.71251718001626,3.5580362464812643,15.847524952644381,0.0020443093125346685,0.004897915125577008,-13.584753500616475,0.037921121053810944,0.09030988205100327,0.0035069804664070474,6.232998912694579,0.3418472208714874
2025-04-18T11:00:00Z,KAOU,27.939194,277.55682,1.9262502011662832,13.143216440474227,3.2966774463088506,14.9427387364623,0.0017190058419239696,0.0043074908985401145,-16.64135718162837,0.03844076934367883,0.08641936617613427,0.0032746868985132757,7.136750976805058,0.3384456647433892
2025-04-18T11:01:00Z,KAOU,27.939194,277.55685,2.3141762100827123,13.08899837604713,3.0913913065582297,14.969360509606485,0.0015701662957913459,0.00428025678618224,-15.787801485685401,0.037482795239125836,0.08366539679491021,0.0029383230862532294,9.599763275314125,0.3249920810721745
2025-04-18T11:02:00Z,KAOU,27.939194,277.55685,2.0732693663039803,13.876721021786523,2.9330826176146854,15.409495629640634,0.0015428391884586559,0.004448876914102038,-15.624252187004997,0.032141094720229274,0.08214113811395092,0.0025248074739137112,10.930643865878212,0.3146558165770486
2025-04-18T11:03:00Z,KAOU,27.939196,277.55685,1.3246687956491878,14.359692869067993,2.6262168380945465,15.673896805534225,0.0013828252098499116,0.004551453309458791,-15.105518480018322,0.02790164880041719,0.08040094925036388,0.001987452882913701,11.528389985019002,0.27333268910676906
2025-04-18T11:04:00Z,KAOU,27.939194,277.55685,2.1558195874699697,14.976038218346975,3.0333714226036985,16.895575910500185,0.001665284119029554,0.00520656693384148,-13.298186017791341,0.026410474877879456,0.07748234949236851,0.0013252191331370336,11.507817165480802,0.3440161505681352
2025-04-18T11:05:00Z,KAOU,27.939194,277.55685,1.0677700060505757,15.424063576648399,2.928000865732815,16.370264137200746,0.0016265212660976842,0.0048767783036818965,-15.356603264910852,0.021780167904538773,0.07411707767137765,0.0011007124355874617,10.865413757654174,0.3232070663065814
2025-04-18T11:06:00Z,KAOU,27.939194,277.55685,1.1578500079010485,15.560232663387337,3.616500677603606,15.99890606761555,0.0020661653145507956,0.004742136422778156,-17.463353901879906,0.016762872055157918,0.07082013783210722,0.0010783245698071785,9.475539893818846,0.3497342646811489
2025-04-18T11:07:00Z,KAOU,27.939194,277.55685,1.2097689095941695,16.109495470788588,3.635490874177644,17.049164731096525,0.0021288481328681267,0.005281758321125391,-15.413998044674418,0.01553490782193505,0.06771463378057953,0.0013417981894846673,6.900418565355799,0.3703918142229406
2025-04-18T11:08:00Z,KAOU,27.939194,277.55685,1.7988354485214857,16.79770915596113,2.9540745166026277,18.282487839863325,0.0017223054337128468,0.005841299853710187,-12.190247095724846,0.013361158948157389,0.06446860125527513,0.0015033011195838568,6.279386054417618,0.3055952202160171
